Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),anel,Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Face mista
1135,12487.5682,13140,3.65,5938,1.649444444,115.5265734,14.7515312,2.749816189,20643.24836,5.908939292,2.498347386,13035.22517,119.7064368,11.0581113,140.6926121,1135,110.651,91.601,-19.05,80.701,-29.95,1.337509275,1.323801012,1.342097808,1.530922428,1.512593592,1.351954469,1.33206914,4585.682,4Ag2,4Ag2,4Ag2,nao
1136,12489.0682,10429,2.896944444,4856,1.348888889,87.30402469,18.53470165,2.784423868,20078.70531,7.594123457,2.440849794,13342.7966,153.9845432,11.31158436,125.4796831,1136,114.909,102.657,-12.252,101.457,-13.452,1.422878601,1.376016461,1.438977366,1.713561728,1.69094856,1.490792181,1.385687243,4354.498,4Ag2,4Ag2,4Ag2,nao
1137,12490.5682,7639,2.121944444,4876,1.354444444,83.3656653,18.05427105,2.613837782,20020.50997,7.41113347,2.4362423,13186.65519,135.7588522,10.63833676,120.2578583,1137,113.223,93.054,-20.169,88.954,-24.269,1.49049692,1.44186037,1.513513347,1.690166324,1.695675565,1.538921971,1.467741273,4712.498,4Ag2,4Ag2,4Ag2,nao
1138,12492.0682,20363,5.656388889,4454,1.237222222,75.69737528,19.73640674,2.616393258,19460.38496,8.07967191,2.442640449,12339.64256,116.0924494,11.08616854,112.1771169,1138,112.574,85.194,-27.38,82.156,-30.418,1.388460674,1.351692135,1.391204494,1.621033708,1.652896629,1.438869663,1.372137079,4351.518,4Ag2,4Ag2,4Ag2,nao
1139,12493.5682,9215,2.559722222,4434,1.231666667,77.02907223,20.23507223,2.687884876,19346.16477,8.295261851,2.438896163,12372.22143,172.8142664,10.55639052,124.6024063,1139,113.251,91.318,-21.933,79.418,-33.833,1.391492099,1.31493228,1.453672686,1.700783296,1.674546275,1.45137246,1.346038375,4447.119,4Ag2,4Ag2,4Ag2,nao
1140,12495.0682,17364,4.823333333,4661,1.294722222,76.91043656,20.36695914,2.609258065,19945.62955,8.401954839,2.420324731,12189.8284,143.1790258,12.49281935,131.8524817,1140,122.882,105.099,-17.783,101.899,-20.983,1.439655914,1.376397849,1.481187097,1.590705376,1.656522581,1.488017204,1.413105376,4445.266,4Ag2,4Ag2,4Ag2,nao
1141,12496.5682,12261,3.405833333,3994,1.109444444,77.80204762,20.11205013,2.618558897,21078.00681,8.241032581,2.432398496,12434.83396,139.7746817,11.06057143,114.9072481,1141,103.745,80.347,-23.398,80.842,-22.903,1.464350877,1.372200501,1.521160401,1.773413534,1.791213033,1.559160401,1.404553885,4558.961,4Ag2,4Ag2,4Ag2,nao
1142,12498.0682,11056,3.071111111,3272,0.908888889,67.32434356,26.57111043,2.672018405,19687.26443,10.58256135,2.511616564,12297.93875,173.0091104,8.538662577,99.94737117,1142,111.143,95.13,-16.013,89.93,-21.213,1.644628834,1.571389571,1.686337423,1.883776074,1.896616564,1.717079755,1.603840491,4545.788,4Ag2,4Ag2,4Ag2,nao
1143,12499.5682,10956,3.043333333,3193,0.886944444,55.55932915,28.42885893,2.71330721,18922.57553,11.33916928,2.50730094,12465.94841,111.4414326,8.991094044,99.4561442,1143,115.983,99.445,-16.538,93.645,-22.338,1.623188088,1.548188088,1.674238245,1.820200627,1.814830721,1.676015674,1.594369906,5428.279,4Ag2,4Ag2,4Ag2,nao
1144,12501.0682,5491,1.525277778,3454,0.959444444,64.03393333,25.42987536,2.782023188,16924.01108,10.14666667,2.50704058,11987.09413,174.9625507,9.389275362,102.7782957,1144,111.481,90.037,-21.444,89.137,-22.344,1.418872464,1.336281159,1.466124638,1.616950725,1.675950725,1.48944058,1.383855072,4535.971,4Ag2,4Ag2,4Ag2,nao
