Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Mat,Material,Composicao da frente,Materiais na frente,Torque/Forca de contato,S1-S2,S1-S3
1119,12461,11069,3.074722222,4807,1.335277778,72.23932917,18.32739583,2.90148125,13776.32727,9.31655,1.966991667,11023.04619,16.53650833,20.13985208,302.0670458,115.117,92.435,-22.682,99.117,-16,1.112729167,1.075327083,1.130075,1.292847917,1.28371875,1.219491667,1.025933333,4910.02,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,29.07560167,-0.054747917,-0.217520834
1120,12462.5,5831,1.619722222,4265,1.184722222,63.72038732,21.27066667,2.938314554,14686.95646,10.76298122,1.976023474,11491.54532,138.995439,33.24697653,228.2066268,115.007,86.834,-28.173,100.903,-14.104,1.071201878,1.001577465,1.103415493,1.336046948,1.338103286,1.229699531,0.950251174,5972.826,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,30.69615897,-0.101838028,-0.334469483
1121,12464,12654,3.515,4710,1.308333333,82.6583673,16.6258535,2.935622081,14779.92722,8.409078556,1.977248408,12255.65379,154.7006582,27.51941826,330.3731762,103.381,78.259,-25.122,71.018,-32.363,1.136488323,1.066157113,1.190864119,1.373152866,1.341014862,1.260840764,1.028061571,5651.523,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,32.70724353,-0.124707006,-0.306995753
1122,12465.5,19927,5.535277778,6450,1.791666667,99.97516925,13.1025854,2.90410559,14285.24823,7.008631988,1.866040373,11314.92931,65.62277329,38.10404193,495.8352764,115.14,97.579,-17.561,75.067,-40.073,0.988756211,0.96626087,1.013159938,1.139993789,1.125821429,1.060537267,0.914990683,7248.972,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,29.87249951,-0.046899068,-0.173732919
1123,12467,209298,58.13833333,7015,1.948611111,104.7923352,12.81277033,2.817653352,14446.42055,6.485894437,1.984308131,11590.22695,33.5123923,161.7802282,1528.910136,116.241,98.586,-17.655,71.687,-44.554,1.059700428,1.023042796,1.101289586,1.28385592,1.209697575,1.143131241,0.97132525,5130.182,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,29.68840165,-0.07824679,-0.260813124
1124,12468.5,16517,4.588055556,6815,1.893055556,164.9373598,12.2173304,3.046873715,14430.68214,4.641640235,2.671960352,12210.44752,92.06395448,40.16436564,685.2122291,108.382,82.671,-25.711,53.236,-55.146,0.93839207,0.924368576,0.958471366,1.127491924,1.107331865,1.01963583,0.850964758,6239.108,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,33.82153782,-0.03410279,-0.203123348
1125,12470,16412,4.558888889,9525,2.645833333,170.3221731,9.166874082,2.849054565,15574.63614,4.758227702,2.009973767,12691.84103,41.09756768,36.29787723,843.3707975,114.822,112.802,-2.02,96.959,-17.863,0.887064008,0.903606506,0.891441763,1.022410283,0.968565582,0.916792235,0.836413431,5570.824,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,32.87249784,0.012164743,-0.118803777
1126,12471.5,245070,68.075,5346,1.485,65.2627397,17.01911049,2.815367041,13019.64703,10.28958614,1.652250936,10347.45647,51.20340637,44.63079026,582.6882303,66.366,98.314,31.948,91.474,25.108,1.015159176,1.007338951,1.021925094,1.156812734,1.166889513,1.064501873,0.966923221,8444.121,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,26.48353446,-0.014586143,-0.149473783
1127,12473,7798,2.166111111,4674,1.298333333,78.174,17.30494647,3.000415418,14437.55682,10.66110064,1.623610278,11483.53322,10.17879872,43.76221627,659.5490385,109.888,82.763,-27.125,79.477,-30.411,1.09806424,1.018738758,1.148449679,1.371976445,1.329231263,1.227588865,0.997501071,5321.704,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,31.32306375,-0.129710921,-0.353237687
1128,12474.5,379067,105.2963889,8354,2.320555556,125.8041198,10.38707305,3.297923353,15634.35714,6.403590419,1.621713772,13383.70794,65.67693293,34.40034132,612.4760491,115.832,130.83,14.998,130.72,14.888,1.082477844,1.010615569,1.135742515,1.371922156,1.344598802,1.219758084,0.963788024,5569.232,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,40.12585724,-0.125126946,-0.361306587
1129,12476,16950,4.708333333,5777,1.604722222,112.9555113,14.76070884,2.92292201,15116.71477,7.834584055,2.010587522,12093.80016,10.27540901,174.8012756,2012.650631,111.527,211.569,100.042,212.494,100.967,1.127831889,1.026655113,1.203759099,1.460282496,1.402958406,1.283476603,0.99754766,5528.274,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,32.13566788,-0.177103986,-0.433627383
1130,12477.5,8389,2.330277778,5702,1.583888889,85.94359227,15.64219332,3.399314587,14737.55401,9.300885764,1.681855888,11493.9135,155.8893638,17.24400703,235.0217065,113.888,104.387,-9.501,112.471,-1.417,0.962913884,0.968822496,0.959455185,1.103337434,1.137318102,1.025049209,0.898319859,5030.078,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,35.51947984,0.009367311,-0.134514938
1131,12479,183290,50.91388889,4418,1.227222222,72.9595034,17.55496825,3.027038549,15137.07626,10.46970975,1.677267574,11618.61181,63.93886621,27.64327438,276.8334649,113.187,93.452,-19.735,83.371,-29.816,1.169909297,1.105594104,1.236442177,1.477641723,1.41193424,1.260548753,1.075968254,5555.896,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,31.9727144,-0.130848073,-0.372047619
1132,12480.5,9091,2.525277778,6903,1.9175,101.6805464,12.53227391,3.158133333,14081.63624,7.491115942,1.67327971,10736.69615,66.84657536,24.9303058,454.8200362,111.58,97.357,-14.223,87.562,-24.018,1.03494058,1.00647971,1.060769565,1.21443913,1.225178261,1.115721739,0.956671014,5283.529,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,30.82538,-0.054289855,-0.20795942
1133,12482,10741,2.983611111,6521,1.811388889,106.2654747,12.83938249,3.310741935,14413.19026,7.489933948,1.707176651,11503.93874,35.56002151,19.58061598,309.458318,110.736,104.924,-5.812,98.737,-11.999,1.018344086,1.034592934,1.022165899,1.136763441,1.1073702,1.047360983,0.969337942,5048.563,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,34.62415673,0.012427035,-0.102170507
1134,12483.5,5489,1.524722222,4077,1.1325,65.04535135,21.97062408,3.309958231,14108.20761,12.10111302,1.815641278,11243.10714,171.7694767,14.77393857,171.7168034,114.568,88.38,-26.188,79.111,-35.457,1.006017199,0.98977887,1.016056511,1.146968059,1.190648649,1.063869779,0.954412776,5494.18,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,33.83110456,-0.026277641,-0.157189189
1135,12485,8810,2.447222222,3705,1.029166667,65.81391351,22.18518649,3.325375676,14795.61781,11.92666486,1.861548649,11612.87995,157.5469514,15.57146757,166.1693946,108.192,82.975,-25.217,83.439,-24.753,1.029059459,0.980005405,1.069216216,1.229818919,1.200375676,1.116667568,0.950121622,5113.689,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,35.10653501,-0.089210811,-0.249813514
